"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Greg Ward","PHI","2.5","30.2","0.2","0.0","0.2","0.0","0.0","3.9"
"Keith Kirkwood","NO","2.4","30.2","0.1","0.0","0.1","0.0","0.0","3.9"
"Daurice Fountain","CHI","2.4","28.7","0.2","0.0","0.0","0.0","0.0","3.9"
"Nsimba Webster","CHI","2.4","28.5","0.2","0.0","0.0","0.0","0.0","3.9"
"James Washington","NO","2.2","29.2","0.2","0.0","0.1","0.0","0.0","3.8"
"Anthony Schwartz","CLE","3.0","27.6","0.1","0.4","3.7","0.1","0.1","3.7"
"N'Keal Harry","MIN","0.0","34.5","0.0","0.3","2.3","0.0","0.0","3.7"
"Kendric Pryor","JAC","0.0","34.9","0.0","0.1","0.9","0.0","0.0","3.6"
"Miles Boykin","PIT","1.6","28.8","0.1","0.0","0.3","0.0","0.0","3.5"
"Alex Erickson","NYJ","2.1","25.0","0.1","0.0","0.2","0.0","0.0","3.3"
"Kawaan Baker","NO","1.7","20.0","0.2","0.0","0.0","0.0","0.0","2.9"
"David Sills V","NYG","0.0","22.4","0.0","0.2","1.0","0.0","0.0","2.3"
"Breshad Perriman","IND","1.1","16.3","0.1","0.0","0.7","0.0","0.0","2.2"
"Jason Brownlee","NYJ","0.8","9.7","0.1","0.0","0.4","0.0","0.0","1.5"
"Kirk Merritt","NO","0.7","5.5","0.0","0.0","4.5","0.0","0.0","1.4"
"Keelan Doss","LAC","0.7","7.7","0.1","0.0","0.6","0.0","0.0","1.2"
"Rakim Jarrett","TB","0.7","7.7","0.0","0.0","0.6","0.0","0.0","1.1"
""
""
